Group,Opt. Flag,NThreads,Loop,BCO,Identifier,Metric,Sum,Min,Max,Avg,
L3,O0,2,ijk,64,L3_O0_P2_ijk_bco_64,Runtime (RDTSC) [s] STAT,221.5700,55.3925,55.3925,55.3925,
L3,O0,2,ikj,512,L3_O0_P2_ikj_bco_512,Runtime (RDTSC) [s] STAT,160.3340,40.0835,40.0835,40.0835,
L3,O0,2,kji,32,L3_O0_P2_kji_bco_32,Runtime (RDTSC) [s] STAT,278.7956,69.6989,69.6989,69.6989,
L3,O0,2,ikj,128,L3_O0_P2_ikj_bco_128,Runtime (RDTSC) [s] STAT,186.3760,46.5940,46.5940,46.5940,
L3,O0,2,kij,32,L3_O0_P2_kij_bco_32,Runtime (RDTSC) [s] STAT,282.8716,70.7179,70.7179,70.7179,
L3,O0,2,jki,0,L3_O0_P2_jki,Runtime (RDTSC) [s] STAT,816.0952,204.0238,204.0238,204.0238,
L3,O0,2,kji,0,L3_O0_P2_kji,Runtime (RDTSC) [s] STAT,836.6880,209.1720,209.1720,209.1720,
L3,O0,2,jki,256,L3_O0_P2_jki_bco_256,Runtime (RDTSC) [s] STAT,194.6384,48.6596,48.6596,48.6596,
L3,O0,2,jik,32,L3_O0_P2_jik_bco_32,Runtime (RDTSC) [s] STAT,289.7988,72.4497,72.4497,72.4497,
L3,O0,2,ikj,16,L3_O0_P2_ikj_bco_16,Runtime (RDTSC) [s] STAT,428.9768,107.2442,107.2442,107.2442,
L3,O0,2,jki,512,L3_O0_P2_jki_bco_512,Runtime (RDTSC) [s] STAT,199.9788,49.9947,49.9947,49.9947,
L3,O0,2,kji,256,L3_O0_P2_kji_bco_256,Runtime (RDTSC) [s] STAT,190.8268,47.7067,47.7067,47.7067,
L3,O0,2,jki,64,L3_O0_P2_jki_bco_64,Runtime (RDTSC) [s] STAT,219.6260,54.9065,54.9065,54.9065,
L3,O0,2,kij,256,L3_O0_P2_kij_bco_256,Runtime (RDTSC) [s] STAT,167.4736,41.8684,41.8684,41.8684,
L3,O0,2,ikj,2048,L3_O0_P2_ikj_bco_2048,Runtime (RDTSC) [s] STAT,154.6900,38.6725,38.6725,38.6725,
L3,O0,2,ijk,0,L3_O0_P2_ijk,Runtime (RDTSC) [s] STAT,723.5624,180.8906,180.8906,180.8906,
L3,O0,2,jki,32,L3_O0_P2_jki_bco_32,Runtime (RDTSC) [s] STAT,296.4612,74.1153,74.1153,74.1153,
L3,O0,2,jki,128,L3_O0_P2_jki_bco_128,Runtime (RDTSC) [s] STAT,187.6576,46.9144,46.9144,46.9144,
L3,O0,2,kji,64,L3_O0_P2_kji_bco_64,Runtime (RDTSC) [s] STAT,221.6176,55.4044,55.4044,55.4044,
L3,O0,2,jik,128,L3_O0_P2_jik_bco_128,Runtime (RDTSC) [s] STAT,188.2140,47.0535,47.0535,47.0535,
L3,O0,2,kji,2048,L3_O0_P2_kji_bco_2048,Runtime (RDTSC) [s] STAT,790.1352,197.5338,197.5338,197.5338,
L3,O0,2,kij,16,L3_O0_P2_kij_bco_16,Runtime (RDTSC) [s] STAT,407.7384,101.9346,101.9346,101.9346,
L3,O0,2,kij,2048,L3_O0_P2_kij_bco_2048,Runtime (RDTSC) [s] STAT,156.3988,39.0997,39.0997,39.0997,
L3,O0,2,ijk,512,L3_O0_P2_ijk_bco_512,Runtime (RDTSC) [s] STAT,185.3104,46.3276,46.3276,46.3276,
L3,O0,2,kij,1024,L3_O0_P2_kij_bco_1024,Runtime (RDTSC) [s] STAT,157.6780,39.4195,39.4195,39.4195,
L3,O0,2,jik,256,L3_O0_P2_jik_bco_256,Runtime (RDTSC) [s] STAT,177.5408,44.3852,44.3852,44.3852,
L3,O0,2,ijk,32,L3_O0_P2_ijk_bco_32,Runtime (RDTSC) [s] STAT,295.5084,73.8771,73.8771,73.8771,
L3,O0,2,kij,512,L3_O0_P2_kij_bco_512,Runtime (RDTSC) [s] STAT,160.4924,40.1231,40.1231,40.1231,
L3,O0,2,kji,1024,L3_O0_P2_kji_bco_1024,Runtime (RDTSC) [s] STAT,518.5756,129.6439,129.6439,129.6439,
L3,O0,2,ikj,0,L3_O0_P2_ikj,Runtime (RDTSC) [s] STAT,153.8924,38.4731,38.4731,38.4731,
L3,O0,2,ijk,1024,L3_O0_P2_ijk_bco_1024,Runtime (RDTSC) [s] STAT,285.7848,71.4462,71.4462,71.4462,
L3,O0,2,jik,64,L3_O0_P2_jik_bco_64,Runtime (RDTSC) [s] STAT,215.7812,53.9453,53.9453,53.9453,
L3,O0,4,ikj,1024,L3_O0_P4_ikj_bco_1024,Runtime (RDTSC) [s] STAT,98.2880,24.5720,24.5720,24.5720,
L3,O0,4,ijk,16,L3_O0_P4_ijk_bco_16,Runtime (RDTSC) [s] STAT,1101.1656,275.2914,275.2914,275.2914,
L3,O0,4,jik,1024,L3_O0_P4_jik_bco_1024,Runtime (RDTSC) [s] STAT,155.7640,38.9410,38.9410,38.9410,
L3,O0,4,jik,0,L3_O0_P4_jik,Runtime (RDTSC) [s] STAT,286.0332,71.5083,71.5083,71.5083,
L3,O0,4,ikj,32,L3_O0_P4_ikj_bco_32,Runtime (RDTSC) [s] STAT,579.2008,144.8002,144.8002,144.8002,
L3,O0,4,ikj,64,L3_O0_P4_ikj_bco_64,Runtime (RDTSC) [s] STAT,332.7876,83.1969,83.1969,83.1969,
L3,O0,4,kji,512,L3_O0_P4_kji_bco_512,Runtime (RDTSC) [s] STAT,146.6208,36.6552,36.6552,36.6552,
L3,O0,4,jik,2048,L3_O0_P4_jik_bco_2048,Runtime (RDTSC) [s] STAT,390.4560,97.6140,97.6140,97.6140,
L3,O0,4,kji,128,L3_O0_P4_kji_bco_128,Runtime (RDTSC) [s] STAT,210.8748,52.7187,52.7187,52.7187,
L3,O0,4,ijk,256,L3_O0_P4_ijk_bco_256,Runtime (RDTSC) [s] STAT,153.1176,38.2794,38.2794,38.2794,
L3,O0,4,jki,16,L3_O0_P4_jki_bco_16,Runtime (RDTSC) [s] STAT,1115.8556,278.9639,278.9639,278.9639,
L3,O0,4,jik,16,L3_O0_P4_jik_bco_16,Runtime (RDTSC) [s] STAT,1121.7012,280.4253,280.4253,280.4253,
L3,O0,4,ijk,128,L3_O0_P4_ijk_bco_128,Runtime (RDTSC) [s] STAT,211.5492,52.8873,52.8873,52.8873,
L3,O0,4,kij,128,L3_O0_P4_kij_bco_128,Runtime (RDTSC) [s] STAT,213.3264,53.3316,53.3316,53.3316,
L3,O0,4,jik,512,L3_O0_P4_jik_bco_512,Runtime (RDTSC) [s] STAT,128.0824,32.0206,32.0206,32.0206,
L3,O0,4,jki,2048,L3_O0_P4_jki_bco_2048,Runtime (RDTSC) [s] STAT,406.8364,101.7091,101.7091,101.7091,
L3,O0,4,ikj,256,L3_O0_P4_ikj_bco_256,Runtime (RDTSC) [s] STAT,145.1832,36.2958,36.2958,36.2958,
L3,O0,4,kji,16,L3_O0_P4_kji_bco_16,Runtime (RDTSC) [s] STAT,1172.2768,293.0692,293.0692,293.0692,
L3,O0,4,kij,64,L3_O0_P4_kij_bco_64,Runtime (RDTSC) [s] STAT,331.7932,82.9483,82.9483,82.9483,
L3,O0,4,kij,0,L3_O0_P4_kij,Runtime (RDTSC) [s] STAT,90.7108,22.6777,22.6777,22.6777,
L3,O0,4,jki,1024,L3_O0_P4_jki_bco_1024,Runtime (RDTSC) [s] STAT,196.2484,49.0621,49.0621,49.0621,
L3,O0,4,ijk,2048,L3_O0_P4_ijk_bco_2048,Runtime (RDTSC) [s] STAT,366.0108,91.5027,91.5027,91.5027,
L3,O0,4,ijk,64,L3_O0_P4_ijk_bco_64,Runtime (RDTSC) [s] STAT,333.8840,83.4710,83.4710,83.4710,
L3,O0,4,ikj,512,L3_O0_P4_ikj_bco_512,Runtime (RDTSC) [s] STAT,115.4148,28.8537,28.8537,28.8537,
L3,O0,4,kji,32,L3_O0_P4_kji_bco_32,Runtime (RDTSC) [s] STAT,576.2024,144.0506,144.0506,144.0506,
L3,O0,4,ikj,128,L3_O0_P4_ikj_bco_128,Runtime (RDTSC) [s] STAT,211.9752,52.9938,52.9938,52.9938,
L3,O0,4,kij,32,L3_O0_P4_kij_bco_32,Runtime (RDTSC) [s] STAT,595.8848,148.9712,148.9712,148.9712,
L3,O0,4,jki,0,L3_O0_P4_jki,Runtime (RDTSC) [s] STAT,478.5648,119.6412,119.6412,119.6412,
L3,O0,4,kji,0,L3_O0_P4_kji,Runtime (RDTSC) [s] STAT,477.5772,119.3943,119.3943,119.3943,
L3,O0,4,jki,256,L3_O0_P4_jki_bco_256,Runtime (RDTSC) [s] STAT,158.3672,39.5918,39.5918,39.5918,
L3,O0,4,jik,32,L3_O0_P4_jik_bco_32,Runtime (RDTSC) [s] STAT,594.2596,148.5649,148.5649,148.5649,
L3,O0,4,ikj,16,L3_O0_P4_ikj_bco_16,Runtime (RDTSC) [s] STAT,1134.9144,283.7286,283.7286,283.7286,
L3,O0,4,jki,512,L3_O0_P4_jki_bco_512,Runtime (RDTSC) [s] STAT,134.5492,33.6373,33.6373,33.6373,
L3,O0,4,kji,256,L3_O0_P4_kji_bco_256,Runtime (RDTSC) [s] STAT,157.2896,39.3224,39.3224,39.3224,
L3,O0,4,jki,64,L3_O0_P4_jki_bco_64,Runtime (RDTSC) [s] STAT,331.5768,82.8942,82.8942,82.8942,
L3,O0,4,kij,256,L3_O0_P4_kij_bco_256,Runtime (RDTSC) [s] STAT,144.8196,36.2049,36.2049,36.2049,
L3,O0,4,ikj,2048,L3_O0_P4_ikj_bco_2048,Runtime (RDTSC) [s] STAT,90.7348,22.6837,22.6837,22.6837,
L3,O0,4,ijk,0,L3_O0_P4_ijk,Runtime (RDTSC) [s] STAT,369.9188,92.4797,92.4797,92.4797,
L3,O0,4,jki,32,L3_O0_P4_jki_bco_32,Runtime (RDTSC) [s] STAT,598.4692,149.6173,149.6173,149.6173,
L3,O0,4,jki,128,L3_O0_P4_jki_bco_128,Runtime (RDTSC) [s] STAT,211.1492,52.7873,52.7873,52.7873,
L3,O0,4,kji,64,L3_O0_P4_kji_bco_64,Runtime (RDTSC) [s] STAT,338.4180,84.6045,84.6045,84.6045,
L3,O0,4,jik,128,L3_O0_P4_jik_bco_128,Runtime (RDTSC) [s] STAT,205.1264,51.2816,51.2816,51.2816,
L3,O0,4,kji,2048,L3_O0_P4_kji_bco_2048,Runtime (RDTSC) [s] STAT,484.5172,121.1293,121.1293,121.1293,
L3,O0,4,kij,16,L3_O0_P4_kij_bco_16,Runtime (RDTSC) [s] STAT,1105.2020,276.3005,276.3005,276.3005,
L3,O0,4,kij,2048,L3_O0_P4_kij_bco_2048,Runtime (RDTSC) [s] STAT,91.7256,22.9314,22.9314,22.9314,
L3,O0,4,ijk,512,L3_O0_P4_ijk_bco_512,Runtime (RDTSC) [s] STAT,129.5196,32.3799,32.3799,32.3799,
L3,O0,4,kij,1024,L3_O0_P4_kij_bco_1024,Runtime (RDTSC) [s] STAT,99.6408,24.9102,24.9102,24.9102,
L3,O0,4,jik,256,L3_O0_P4_jik_bco_256,Runtime (RDTSC) [s] STAT,150.4932,37.6233,37.6233,37.6233,
L3,O0,4,ijk,32,L3_O0_P4_ijk_bco_32,Runtime (RDTSC) [s] STAT,602.3408,150.5852,150.5852,150.5852,
L3,O0,4,kij,512,L3_O0_P4_kij_bco_512,Runtime (RDTSC) [s] STAT,114.5316,28.6329,28.6329,28.6329,
L3,O0,4,kji,1024,L3_O0_P4_kji_bco_1024,Runtime (RDTSC) [s] STAT,326.8772,81.7193,81.7193,81.7193,
L3,O0,4,ikj,0,L3_O0_P4_ikj,Runtime (RDTSC) [s] STAT,90.1336,22.5334,22.5334,22.5334,
L3,O0,4,ijk,1024,L3_O0_P4_ijk_bco_1024,Runtime (RDTSC) [s] STAT,154.9244,38.7311,38.7311,38.7311,
